subject,attribute
Draupadi,bride
Drupad,father
Karna,attendees
Karna,attendees
Arjuna,attendees
Dhuryodhan,attendees
Dhurvisha,attendees
Durmukha,attendees
Vivinsati,attendees
Vikarna,attendees
Saha,attendees
Duhsasana,attendees
Yuyutsu,attendees
Vayuvega,attendees
Kanakayu,attendees
Virochana,attendees
Suvarcha,attendees
Kanakadhwaja,attendees
Sakuni,attendees
Sauvala,attendees
Vrisaka,attendees
Vrihadvala,attendees
Aswatthaman,attendees
Bhoja,attendees
Panchala,place
bow,weapon
Arjuna,chosen
